Seed,Ag Prob.,Ag0 Prob.,Infectiousness,Social Distancing,Mask Mandate,Quarantining,Field type
9,0.05,0.01,0.33,false,false,false,MobileNetwork
Susceptible,Infected,Recovered
7,3,0
7,3,0
7,3,0
7,3,0
7,3,0
6,4,0
6,4,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
5,5,0
4,6,0
4,6,0
4,6,0
4,6,0
4,6,0
4,6,0
4,6,0
4,6,0
4,6,0
4,6,0
4,6,0
4,5,1
4,3,3
4,3,3
4,3,3
4,3,3
4,3,3
4,3,3
4,3,3
4,3,3
4,3,3
4,3,3
4,3,3
4,3,3
4,2,4
3,3,4
3,2,5
3,2,5
2,3,5
2,3,5
2,3,5
2,3,5
2,3,5
2,3,5
2,3,5
2,3,5
2,3,5
2,2,6
2,2,6
2,2,6
2,2,6
2,2,6
2,2,6
2,2,6
2,2,6
2,2,6
0,4,6
0,4,6
0,4,6
0,4,6
0,3,7
0,3,7
0,3,7
0,3,7
0,3,7
0,3,7
0,3,7
0,3,7
0,3,7
0,3,7
0,2,8
0,2,8
0,2,8
0,2,8
0,2,8
0,1,9
0,1,9
0,1,9
0,1,9
0,1,9
0,1,9
0,1,9
0,1,9
0,1,9
0,1,9
0,1,9
0,1,9
0,1,9
0,1,9
0,1,9
0,1,9
0,1,9
0,1,9
0,1,9
0,0,10
